PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
RUS,1,m,1959,1959,10,O,1433060,10,.,.,1
RUS,1,f,1959,1959,10,O,1363168,10,.,.,1
RUS,1,m,1960,1960,9,O,1427225,10,.,.,1
RUS,1,f,1960,1960,9,O,1355128,10,.,.,1
RUS,1,m,1961,1961,9,O,1365700,10,.,.,1
RUS,1,f,1961,1961,9,O,1296435,10,.,.,1
RUS,1,m,1962,1962,9,O,1272461,10,.,.,1
RUS,1,f,1962,1962,9,O,1210078,10,.,.,1
RUS,1,m,1963,1963,9,O,1197738,10,.,.,1
RUS,1,f,1963,1963,9,O,1133767,10,.,.,1
RUS,1,m,1964,1964,9,O,1087619,10,.,.,1
RUS,1,f,1964,1964,9,O,1034375,10,.,.,1
RUS,1,m,1965,1965,9,O,1021560,10,.,.,1
RUS,1,f,1965,1965,9,O,968960,10,.,.,1
RUS,1,m,1966,1966,9,O,1002152,10,.,.,1
RUS,1,f,1966,1966,9,O,955251,10,.,.,1
RUS,1,m,1967,1967,9,O,947686,10,.,.,1
RUS,1,f,1967,1967,9,O,903355,10,.,.,1
RUS,1,m,1968,1968,9,O,930239,10,.,.,1
RUS,1,f,1968,1968,9,O,886270,10,.,.,1
RUS,1,m,1969,1969,9,O,945265,10,.,.,1
RUS,1,f,1969,1969,9,O,902327,10,.,.,1
RUS,1,m,1970,1970,9,O,974392,10,.,.,1
RUS,1,f,1970,1970,9,O,929321,10,.,.,1
RUS,1,m,1971,1971,9,O,1011337,10,.,.,1
RUS,1,f,1971,1971,9,O,963300,10,.,.,1
RUS,1,m,1972,1972,9,O,1031422,10,.,.,1
RUS,1,f,1972,1972,9,O,983216,10,.,.,1
RUS,1,m,1973,1973,9,O,1022369,10,.,.,1
RUS,1,f,1973,1973,9,O,972252,10,.,.,1
RUS,1,m,1974,1974,9,O,1063857,10,.,.,1
RUS,1,f,1974,1974,9,O,1015955,10,.,.,1
RUS,1,m,1975,1975,9,O,1079901,10,.,.,1
RUS,1,f,1975,1975,9,O,1026246,10,.,.,1
RUS,1,m,1976,1976,9,O,1100411,10,.,.,1
RUS,1,f,1976,1976,9,O,1046300,10,.,.,1
RUS,1,m,1977,1977,9,O,1103729,10,.,.,1
RUS,1,f,1977,1977,9,O,1052995,10,.,.,1
RUS,1,m,1978,1978,9,O,1115420,10,.,.,1
RUS,1,f,1978,1978,9,O,1063610,10,.,.,1
RUS,1,m,1979,1979,9,O,1114937,10,.,.,1
RUS,1,f,1979,1979,9,O,1063605,10,.,.,1
RUS,1,m,1980,1980,9,O,1126666,10,.,.,1
RUS,1,f,1980,1980,9,O,1076113,10,.,.,1
RUS,1,m,1981,1981,9,O,1145239,10,.,.,1
RUS,1,f,1981,1981,9,O,1091369,10,.,.,1
RUS,1,m,1982,1982,9,O,1192252,10,.,.,1
RUS,1,f,1982,1982,9,O,1135792,10,.,.,1
RUS,1,m,1983,1983,9,O,1268820,10,.,.,1
RUS,1,f,1983,1983,9,O,1209502,10,.,.,1
RUS,1,m,1984,1984,9,O,1234760,10,.,.,1
RUS,1,f,1984,1984,9,O,1174854,10,.,.,1
RUS,1,m,1985,1985,9,O,1217322,10,.,.,1
RUS,1,f,1985,1985,9,O,1157825,10,.,.,1
